province,points,price,lat,lon,province average points,province average price,province average utility,price dollars
Burgenland,89.65,28.984126984126984,47.153716500000606,16.26887969999996,89.64726631393378,28.984126984127126,3.09,$28.98
Burgundy,89.64,71.05827430779136,47.05250469999804,4.383721500000209,89.63940759820134,71.05827430778959,1.26,$71.06
Bí_o Bí_o Valley,85.57,14.976190476190476,45.649530800000036,-76.90248680000002,85.57142857142854,14.976190476190478,5.71,$14.98
Cachapoal Valley,87.28,26.436274509803923,-34.171831300000065,-70.62167939999975,87.2794117647062,26.436274509803944,3.30,$26.44
Cahul,83.33,8.0,45.8939404,28.189027499999998,83.33333333333333,8.0,10.42,$8.00
California,88.63,39.04104808331487,36.7782610000347,-119.41793240000115,88.6295147351939,39.04104808330305,2.27,$39.04
Campanha,83.00,26.0,-21.8343864,-45.3990201,83.0,26.0,3.19,$26.00
Canelones,86.65,23.511627906976745,-34.52910429999998,-56.2873482,86.65116279069763,23.511627906976745,3.69,$23.51
Canterbury,87.40,24.6,44.7911906,-93.48387160000001,87.39999999999999,24.599999999999998,3.55,$24.60
Cape Agulhas,90.00,25.0,-34.8311111,20.0130556,90.0,25.0,3.60,$25.00
Cape Peninsula,90.67,42.333333333333336,-34.2500139,18.4157357,90.66666666666667,42.333333333333336,2.14,$42.33
Cape South Coast,85.00,26.0,33.6894105,-117.8994287,85.0,26.0,3.27,$26.00
Cappadocia,86.50,18.9,28.551347,-81.310391,86.5,18.900000000000002,4.58,$18.90
Carnuntum,90.42,28.208333333333332,48.11332600000002,16.861693000000006,90.41666666666674,28.208333333333346,3.21,$28.21
Casablanca & Leyda Valleys,86.00,21.0,33.5731104,-7.589843399999999,86.0,21.0,4.10,$21.00
Casablanca Valley,86.24,17.61241610738255,-33.31903759999989,-71.4076318000005,86.24496644295198,17.61241610738233,4.90,$17.61
Catalonia,87.46,28.466608846487425,41.591158900000494,1.5208623999999917,87.4614050303543,28.466608846487368,3.07,$28.47
Cauquenes Valley,88.89,20.88888888888889,-35.9676285,-72.32223309999999,88.8888888888889,20.88888888888889,4.26,$20.89
Cederberg,88.17,26.0,43.34561209999999,-83.74095559999999,88.16666666666667,26.0,3.39,$26.00
Central Greece,86.00,8.0,38.6043928,22.7152125,86.0,8.0,10.75,$8.00
Central Italy,87.43,25.437272727272727,41.8719399999997,12.56738000000028,87.42818181818106,25.43727272727221,3.44,$25.44
Central Otago,89.24,40.72049689440994,-44.95663150000012,169.39884510000027,89.2422360248451,40.720496894409806,2.19,$40.72
Central Spain,85.53,18.48654244306418,40.463666999999994,-3.749219999999975,85.53416149068369,18.48654244306434,4.63,$18.49
Central Valley,84.73,12.6045197740113,40.199877700000286,-122.20110749999955,84.72598870056467,12.604519774011344,6.72,$12.60
Cephalonia,86.75,22.0,38.1753675,20.5692179,86.75,22.0,3.94,$22.00
Chalkidiki,88.20,23.2,40.3694997,23.287085,88.2,23.2,3.80,$23.20
Champagne,90.26,79.46131597975416,35.93469219999915,-96.01344439999977,90.26319595082974,79.46131597975562,1.14,$79.46
Chile,85.74,21.72340425531915,-35.675146999999974,-71.54296900000004,85.7446808510639,21.72340425531913,3.95,$21.72
China,89.00,18.0,35.86166,104.195397,89.0,18.0,4.94,$18.00
Choapa Valley,85.33,17.0,-31.5903378,-71.5276126,85.33333333333333,17.0,5.02,$17.00
Coastal Region,87.33,18.661538461538463,28.90261849999991,-82.57714210000017,87.33076923076935,18.661538461538424,4.68,$18.66
Codru Region,86.00,14.5,46.9787276,28.8156637,86.0,14.5,5.93,$14.50
Coelemu,88.00,25.0,-36.4983941,-72.7570024,88.0,25.0,3.52,$25.00
Colares,90.50,262.5,38.8066307,-9.4426867,90.5,262.5,0.34,$262.50
Colchagua Costa,86.50,21.5,-34.6761419,-71.09731699999999,86.5,21.5,4.02,$21.50
Colchagua Valley,87.10,22.239951278928135,-34.67614189999969,-71.09731699999978,87.09744214372759,22.239951278928288,3.92,$22.24
Colorado,86.12,32.98529411764706,39.550050700000014,-105.78206740000016,86.11764705882345,32.98529411764705,2.61,$32.99
Connecticut,84.00,15.333333333333334,41.6032207,-73.087749,84.0,15.333333333333334,5.48,$15.33
Constantia,88.77,24.181818181818183,43.26441049999997,-75.94632399999999,88.77272727272727,24.181818181818183,3.67,$24.18
Corinth,86.50,15.333333333333334,37.9386365,22.932238299999998,86.5,15.333333333333334,5.64,$15.33
Crete,87.19,21.40740740740741,35.24011700000002,24.80926910000001,87.1851851851852,21.407407407407405,4.07,$21.41
Croatia,88.00,19.0,45.1,15.2000001,88.0,19.0,4.63,$19.00
Curicí_ and Leyda Valleys,86.67,12.666666666666666,-33.61315740000001,-71.4501843,86.66666666666667,12.666666666666666,6.84,$12.67
Curicí_ and Maipo Valleys,86.00,17.5,-33.8088442,-70.7644236,86.0,17.5,4.91,$17.50
Cyclades,84.00,21.0,37.1548247,25.0687356,84.0,21.0,4.00,$21.00
Cyprus,86.33,14.333333333333334,35.126413,33.429859,86.33333333333333,14.333333333333334,6.02,$14.33
Dan,86.50,12.0,36.03201019999999,-95.99088379999999,86.5,12.0,7.21,$12.00
Danube River Plains,89.11,15.105263157894736,46.31080970000002,18.925711700000004,89.10526315789477,15.105263157894736,5.90,$15.11
Darling,86.50,16.666666666666668,34.3589978,-90.27426049999998,86.5,16.666666666666668,5.19,$16.67
Dealu Mare,86.94,21.032258064516128,41.917725399999966,-87.64827779999997,86.93548387096779,21.03225806451611,4.13,$21.03
Devon Valley,84.00,22.5,50.539567,-3.5257072,84.0,22.5,3.73,$22.50
Douro,89.14,29.141975308641975,41.5012768000009,-5.5122932000001015,89.13932980599819,29.141975308641378,3.06,$29.14
Drama,87.85,21.75,41.30972079999998,-72.93126250000007,87.84999999999994,21.75,4.04,$21.75
Durbanville,86.45,18.454545454545453,-33.82594139999999,18.6531909,86.45454545454548,18.45454545454545,4.68,$18.45
East Coast,86.29,13.285714285714286,37.15890530000001,-93.2838256,86.2857142857143,13.285714285714288,6.49,$13.29
Eger,87.62,31.307692307692307,47.902534800000005,20.377228400000003,87.61538461538461,31.307692307692317,2.80,$31.31
Eilandia,87.67,13.333333333333334,-33.7725,19.67317,87.66666666666667,13.333333333333334,6.58,$13.33
Eisenberg,91.19,35.375,32.8526268,-96.95790489999997,91.1875,35.375,2.58,$35.38
ElazÛ±Ûô-Diyarbakir,86.00,25.0,37.9249733,40.2109826,86.0,25.0,3.44,$25.00
Elgin,88.20,30.295454545454547,42.03540840000004,-88.28256680000003,88.20454545454548,30.295454545454525,2.91,$30.30
Elim,89.50,24.0,41.655166,-87.758338,89.5,24.0,3.73,$24.00
Ella Valley,89.25,36.5,40.7600857,-73.9721461,89.25,36.5,2.45,$36.50
Elqui Valley,85.96,18.37735849056604,-29.976691300000017,-70.5527852,85.96226415094347,18.37735849056605,4.68,$18.38
England,91.55,51.68115942028985,52.35551769999994,-1.1743196999999994,91.55072463768109,51.68115942028989,1.77,$51.68
Epanomi,88.62,42.375,40.4289764,22.930417400000007,88.625,42.375,2.09,$42.38
Estremadura,86.00,11.324324324324325,39.4937392,-6.0679193999999965,86.0,11.324324324324325,7.59,$11.32
Florina,87.92,23.076923076923077,40.78452619999997,21.413122199999997,87.92307692307692,23.076923076923073,3.81,$23.08
Franken,88.71,61.21052631578947,39.080056900000024,-94.59847900000008,88.71052631578955,61.21052631578944,1.45,$61.21
Franschhoek,87.50,24.272727272727273,-33.89748329999998,19.1523292,87.5,24.272727272727266,3.60,$24.27
Galicia,87.44,21.09046454767726,42.57505540000024,-8.133855800000081,87.44498777506026,21.090464547677364,4.15,$21.09
Galil,86.46,32.69230769230769,36.3515847,-94.21327440000002,86.46153846153848,32.692307692307686,2.64,$32.69
Galilee,88.53,29.43846153846154,41.380243999999955,-71.49256279999986,88.53461538461514,29.438461538461528,3.01,$29.44
Georgia,86.92,18.076923076923077,32.1656221,-82.9000751,86.92307692307692,18.076923076923073,4.81,$18.08
Germany,87.33,19.0,51.165691,10.451526,87.33333333333336,19.0,4.60,$19.00
Gisborne,88.20,23.9,-38.662333999999994,178.01764899999998,88.20000000000002,23.900000000000002,3.69,$23.90
Gladstone,91.00,16.0,39.2038918,-94.554677,91.0,16.0,5.69,$16.00
Golan Heights,89.67,46.666666666666664,33.01558540000001,35.784354,89.66666666666667,46.666666666666664,1.92,$46.67
Goriska Brda,88.85,31.615384615384617,45.997565200000025,13.527047400000008,88.84615384615383,31.615384615384635,2.81,$31.62
Goumenissa,87.67,29.666666666666668,40.946869,22.4510542,87.66666666666667,29.666666666666668,2.96,$29.67
Greece,84.85,17.153846153846153,39.074208,21.824312,84.84615384615383,17.153846153846157,4.95,$17.15
Halkidiki,88.20,15.4,40.3694997,23.287085,88.2,15.4,5.73,$15.40
Hawaii,87.00,28.0,19.8967662,-155.5827818,87.0,28.0,3.11,$28.00
Hawke's Bay,89.37,34.91338582677165,-39.10898670000005,176.7416373999998,89.37007874015758,34.91338582677155,2.56,$34.91
Helderberg,87.50,37.5,42.6518007,-73.7933809,87.5,37.5,2.33,$37.50
Hemel en Aarde,90.30,41.6,-34.41165920000001,19.2065868,90.29999999999998,41.60000000000001,2.17,$41.60
Hrvatsko Primorje,84.00,13.0,45.31739959999999,14.8167466,84.0,13.0,6.46,$13.00
Hungary,87.14,16.0,47.162493999999995,19.503304100000005,87.14285714285712,16.0,5.45,$16.00
Hvar,87.67,24.666666666666668,43.1541875,16.6527099,87.66666666666667,24.666666666666668,3.55,$24.67
Ica,83.56,18.0625,42.3528824,-71.04301099999999,83.5625,18.0625,4.63,$18.06
Idaho,86.61,20.768421052631577,44.068201899999835,-114.74204079999983,86.60526315789492,20.768421052631652,4.17,$20.77
Illinois,84.50,32.333333333333336,40.63312489999999,-89.3985283,84.5,32.333333333333336,2.61,$32.33
Imathia,87.00,15.0,40.60600669999999,22.1430215,87.0,15.0,5.80,$15.00
Iowa,83.00,15.5,41.8780025,-93.097702,83.0,15.5,5.35,$15.50
Israel,88.93,35.42857142857143,31.046050999999995,34.851611999999996,88.92857142857142,35.42857142857144,2.51,$35.43
Istria,87.48,22.08695652173913,45.274501800000024,13.890185800000001,87.47826086956523,22.08695652173913,3.96,$22.09
